feature,importance
item_avg_bill_items,1289
ui_recency_days,1194
category_l1,835
item_avg_bill_value,835
ui_repeat_due_ratio,819
item_transaction_share_30d,730
item_discount_positive_rate,716
category_l2,704
item_avg_price,678
item_avg_discount,638
item_n_customers,619
item_avg_discount_rate,615
item_n_transactions_30d,574
ub_recency_days,568
brand,553
category_l3,550
ul3_recency_days,529
ul1_recency_days,529
category,511
item_total_quantity,507
item_catalog_price,505
ui_avg_repeat_interval_days,492
item_n_customers_30d,492
user_days_since_last_bill,484
item_transaction_share_60d,447
ul2_recency_days,424
item_n_transactions,389
manufacturer,357
user_n_active_days,341
ui_total_quantity,334
item_n_customers_60d,331
ui_purchase_span_days,295
user_avg_discount,289
uman_transaction_share,279
uman_recency_days,279
user_price_p25,268
is_cooccurrence_candidate,243
item_days_since_first_seen,226
user_price_p75,224
ui_n_transactions,221
user_median_price,218
item_n_transactions_60d,217
user_n_unique_items,215
item_user_discount_rate_diff,215
ui_n_transactions_60d,214
ul1_n_transactions_30d,209
user_discount_positive_rate,207
ul3_n_bills,206
user_main_location,191
ul1_n_bills,188
item_price_to_user_avg,187
ui_n_bills,186
ul1_transaction_share,185
ub_transaction_share,182
user_avg_bill_value,182
item_main_location_transaction_share,179
ub_n_transactions,179
ul3_transaction_share,176
user_n_transactions_60d,175
user_avg_discount_rate,167
user_total_spend,165
user_avg_quantity_per_bill,159
user_total_quantity,159
ul3_n_transactions_30d,155
ul2_total_quantity,152
user_n_bills_30d,151
ul3_n_transactions,150
user_n_bills_60d,149
ub_n_transactions_30d,149
ub_total_quantity,143
ul1_n_transactions,141
ul3_total_quantity,137
ul2_n_bills,136
sale_status,134
ub_n_bills,134
ul1_total_quantity,132
user_avg_items_per_bill,131
item_location_transactions,127
user_n_unique_items_60d,125
ul2_n_transactions,124
user_avg_line_value,123
user_main_location_transactions,122
ul2_n_transactions_30d,112
ui_n_transactions_30d,110
item_days_since_last_seen,106
user_n_bills,106
uc_transaction_share,103
uc_recency_days,99
user_n_unique_items_30d,95
uman_n_transactions_30d,95
item_n_bills,91
user_n_locations,91
user_avg_price,89
user_n_transactions,87
user_avg_bill_items,85
uman_total_quantity,84
item_location_customers,73
uman_n_transactions,73
item_price_user_avg_abs_diff,65
uman_n_bills,64
user_n_transactions_30d,61
user_avg_bill_value_from_bills,57
is_recent_candidate,53
is_category_candidate,44
uc_total_quantity,35
is_frequent_candidate,35
n_candidate_sources,33
size,33
user_avg_bill_lines,33
user_avg_bill_quantity,24
uc_n_bills,19
ul2_transaction_share,17
uc_n_transactions_30d,17
uc_n_transactions,13
item_price_in_user_iqr,9
