feature,importance
ui_recency_days,2773
item_avg_price,2464
item_avg_discount,2123
item_n_customers,1671
item_n_transactions,1537
item_total_quantity,1504
category_l1,1412
category_l3,1380
category_l2,1344
category,1338
brand,1223
ui_n_transactions,920
manufacturer,903
user_n_active_days,772
user_avg_discount,666
user_avg_price,657
user_n_unique_items,578
ub_transaction_share,513
user_avg_items_per_bill,497
ui_total_quantity,445
ub_n_transactions,437
user_avg_quantity_per_bill,437
uc_transaction_share,432
sale_status,418
uc_n_bills,406
uc_total_quantity,372
item_n_bills,369
user_total_quantity,364
ub_n_bills,356
uc_n_transactions,350
ub_total_quantity,348
ui_n_bills,336
user_n_transactions,310
user_n_bills,250
size,95
