feature,importance
category,8947
brand,3042
category_l3,2808
manufacturer,1526
category_l2,822
ui_recency_days,790
ui_repeat_due_ratio,596
user_days_since_last_bill,454
ui_avg_repeat_interval_days,426
ub_recency_days,424
ul1_recency_days,412
user_n_active_days,340
ul2_recency_days,310
ul3_recency_days,302
ui_n_transactions,287
user_n_transactions_60d,275
ui_total_quantity,251
user_avg_discount,241
item_n_transactions_30d,235
item_n_customers_30d,232
user_price_p25,228
item_main_location_transaction_share,218
ul2_total_quantity,213
item_transaction_share_30d,213
ui_purchase_span_days,207
ul3_n_transactions_30d,199
uman_recency_days,195
user_price_p75,195
item_avg_bill_items,191
user_main_location,177
ul1_n_transactions_30d,171
user_avg_bill_value,168
ui_n_bills,165
uc_transaction_share,165
ui_n_transactions_60d,164
item_transaction_share_60d,161
user_n_bills_30d,152
user_n_unique_items,150
user_discount_positive_rate,145
is_cooccurrence_candidate,142
user_total_spend,141
ul1_n_bills,140
user_avg_discount_rate,138
ul3_n_bills,135
uman_transaction_share,135
uc_total_quantity,134
item_price_to_user_avg,132
user_avg_items_per_bill,130
ub_n_bills,130
ub_n_transactions,125
ub_total_quantity,122
user_total_quantity,122
user_avg_quantity_per_bill,118
ul3_n_transactions,118
item_avg_bill_value,116
item_n_transactions_60d,112
user_median_price,110
item_user_discount_rate_diff,110
uc_n_transactions,109
item_n_customers_60d,97
ul3_transaction_share,97
ul1_transaction_share,96
item_n_transactions,95
ub_transaction_share,90
item_n_customers,89
user_n_transactions,89
uc_n_bills,79
item_total_quantity,74
item_avg_discount,71
item_avg_price,71
user_avg_price,66
item_discount_positive_rate,65
item_avg_discount_rate,56
category_l1,45
item_catalog_price,36
sale_status,30
item_n_bills,20
item_days_since_first_seen,18
